BookingID,CustomerName,Email,Destination,BookingDate,TravelDate,NumGuests,PriceEUR,Status
e58a2bf7-3975-4dc5-a130-0a3f099018a3,Scott Wise,melissahudson@example.net,Turkey,2024-03-06,2024-08-05,5,1051.69,Confirmed
5f4dc37c-09f8-4252-8976-dd3cf4344a1d,Kenneth Farley,faulkneranthony@example.net,Greece,2024-05-02,2024-06-14,6,1237.82,Confirmed
739c937a-77d5-415f-be59-d25461da969f,Michael Waters,acochran@example.org,Turkey,2022-05-14,2022-06-17,1,152.0,Confirmed
f4158ddf-f9c0-44d4-9916-fabeda65c703,Joseph Stewart,brandononeal@example.org,Turkey,2021-06-12,2021-12-03,1,191.45,Confirmed
142d0e7c-5c03-4317-af38-42641a223635,Shannon Perry,qhorn@example.com,Spain,2024-02-11,2024-06-10,2,526.38,Confirmed
905942c5-84c6-4617-9e74-5453a8c7916a,Ashley Young,vcooper@example.org,Spain,2023-05-07,2023-06-19,5,1330.75,Confirmed
432c4995-d379-4bc3-8b21-7f94bc906e5e,Gary Barnes MD,ncrawford@example.com,Greece,2021-04-05,2021-08-27,2,478.62,Confirmed
d9d0b0a2-843e-4442-ac4b-8bb41a2f9c4d,Marcus Flores,kathleennelson@example.net,Italy,2025-06-27,2025-11-28,3,808.19,Confirmed
dcafc9fa-c5af-4533-aa7f-1785a1085513,Molly Morales,melissacampbell@example.com,Italy,2020-08-05,2020-12-22,1,272.04,Confirmed
03109f0d-e880-44cf-a1ef-901f81c05491,Christine Peters,tarnold@example.org,Italy,2023-06-21,2023-10-28,4,1228.78,Cancelled
670d50ef-69ae-4c75-91c7-753756397555,Michelle Peterson,hallbobby@example.org,Turkey,2022-02-02,2022-03-20,3,717.42,Confirmed
8ad1e07b-b5aa-4404-8b1f-2e106e6d605a,Ashley Chavez,normanjulie@example.com,Greece,2021-06-02,2021-07-12,4,1016.31,Confirmed
2e00595a-d98c-4a46-9d60-cfb3cd10d54c,Donald Ward,zmorris@example.com,Turkey,2022-08-05,2022-09-21,4,846.33,Cancelled
7ce03d69-2088-43d0-9440-dce137aeba54,Amy Miller,daviscristina@example.org,Italy,2025-08-11,2025-11-22,1,220.06,Confirmed
c5757f5b-4b3d-4ff1-8da6-b97c86f6de0b,Sharon Jefferson,brownmichelle@example.net,Greece,2025-06-12,2025-07-23,3,665.12,Pending
9d3cf4ab-a287-4d10-bc64-df0e468154a7,Douglas Ford,mandy31@example.org,Turkey,2024-08-25,2024-10-03,6,1261.96,Cancelled
61b1ad35-8e8f-4854-956d-92e2089cfd5a,Thomas Ramirez,goodkatie@example.org,Greece,2023-08-02,2023-09-19,4,1058.98,Confirmed
1538c711-6a91-49ed-b196-6282ccb6588f,Kevin Alvarado,fbennett@example.com,Spain,2025-07-10,2025-10-04,4,1081.32,Cancelled
64128cf5-7940-4a7e-a3fa-1b2b538df826,Jamie Koch,shepardrebecca@example.net,Croatia,2022-04-27,2022-07-17,1,259.99,Confirmed
8d394846-d441-47f0-92ad-723f9c8b3146,Barry Colon,vmelendez@example.org,Turkey,2024-09-21,2024-11-25,4,693.36,Confirmed
db974cb1-db02-468c-8fe0-6ac9cf70b5e7,Joy Stewart,andersonsharon@example.com,Italy,2020-10-11,2021-02-16,6,1558.19,Confirmed
27c1445c-4d8c-4279-8d80-c50f48273422,Natalie Rush,holtallison@example.com,Croatia,2024-04-22,2024-09-07,1,197.04,Cancelled
cc9b4d6f-28fa-4446-a50e-2e3903cacbba,John Cruz,lawrenceshawn@example.net,Greece,2020-06-14,2020-08-14,3,720.46,Confirmed
8e298b11-b1af-4529-8270-021dfa21fb69,Jessica Donovan,rjackson@example.com,Portugal,2021-09-01,2022-02-11,4,864.25,Confirmed
8b51fdb5-8964-46a9-8045-9b31263059b7,Benjamin Vaughn,frederickpace@example.net,Italy,2024-01-08,2024-05-23,2,555.32,Cancelled
b9645021-30ff-4f0f-a494-31d1d61dcbb1,Sophia Mack,hryan@example.com,Turkey,2021-07-21,2021-08-30,1,243.35,Confirmed
76242c71-de49-431a-be8b-8467120c108e,David Kennedy,raymond15@example.com,France,2023-10-17,2023-11-24,3,1012.92,Cancelled
4cda219d-13a9-4831-b647-2dce3c15a843,Karen Hamilton,normawatson@example.org,Portugal,2021-05-14,2021-08-18,5,1319.09,Confirmed
f169e2ce-39f2-49ac-8aa3-2d3b5df323f5,Jeremy Young,emiller@example.com,Croatia,2021-08-08,2021-12-28,4,780.95,Pending
df19cede-d5e8-4907-966c-d55312dc4248,Donald Lynch,watsonbrian@example.org,Italy,2023-01-11,2023-04-21,4,918.0,Pending
